HIV : Validation Results
=========================================

err = 306, warn = 151, info = 2042
IG Publisher Version: 1.6.13
Generated Mon Jul 01 19:40:38 UTC 2024. FHIR version 4.0.1 for smart.who.int.hiv#0.1.0 (canonical = http://smart.who.int/hiv)
 Build Errors : 70 / 16 / 0
 /github/workspace/fsh-generated/resources/ActorDefinition-Client : 0 / 1 / 2
 /github/workspace/fsh-generated/resources/ActorDefinition-CommunityHealthWorker : 0 / 1 / 2
 /github/workspace/fsh-generated/resources/ActorDefinition-DataEntryClerk : 0 / 1 / 2
 /github/workspace/fsh-generated/resources/ActorDefinition-DistrictHealthInformationOfficer : 0 / 1 / 2
 /github/workspace/fsh-generated/resources/ActorDefinition-KeyPopulations : 0 / 1 / 2
 /github/workspace/fsh-generated/resources/ActorDefinition-LabTechnician : 0 / 1 / 2
 /github/workspace/fsh-generated/resources/ActorDefinition-Nurse : 0 / 1 / 2
 /github/workspace/fsh-generated/resources/ActorDefinition-Pharmacist : 0 / 1 / 2
 /github/workspace/fsh-generated/resources/ActorDefinition-Physician : 0 / 1 / 2
 /github/workspace/fsh-generated/resources/ActorDefinition-SpecialPopulationClient : 0 / 1 / 2
 /github/workspace/fsh-generated/resources/ActorDefinition-SpecialistMedicalDoctor : 0 / 1 / 2
 /github/workspace/fsh-generated/resources/ActorDefinition-TrainedLayProvider : 0 / 1 / 2
 /github/workspace/fsh-generated/resources/ActorDefinition-TrainedNonPhysicianClinician : 0 / 1 / 2
 /github/workspace/fsh-generated/resources/CodeSystem-HIVConcepts : 0 / 17 / 4
 /github/workspace/fsh-generated/resources/ImplementationGuide-smart.who.int.hiv : 0 / 0 / 4
 /github/workspace/fsh-generated/resources/Library-AllConceptsLogic : 5 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-AllContactDataElementsLogic : 5 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-FHIRCommonLogic : 5 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-FHIRHelpersLogic : 5 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVB2DTLogic : 5 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVB7DTLogic : 5 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVConceptsCustomLogic : 5 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVConceptsLogic : 5 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND11Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND12Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND13Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND14Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND15Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND16Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND18Logic : 2 / 3 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND19Logic : 2 / 6 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND20Logic : 2 / 6 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND21Logic : 2 / 10 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND22Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND24Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND25Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND27Logic : 2 / 5 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND28Logic : 2 / 17 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND29Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND2Logic : 2 / 4 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND30Logic : 2 / 4 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND31Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND32Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND33Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND34Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND35Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND37Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND38Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND39Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND3Logic : 2 / 8 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND40Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND41Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND42Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND43Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND44Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND45Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND46Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND47Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND48Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND49Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND4Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND50Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND51Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND52Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND53Logic : 2 / 0 / 11
 /github/workspace/fsh-generated/resources/Library-HIVIND54Logic : 2 / 0 / 11
